SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Studied,New,RT,Credit,Lab
65,young,CC7,1,STATIONER,,semantic,1,0,2,3.05932738272531,y,y
65,young,CC7,2,DACHSHUND,,semantic,1,0,1,4.9707525553531,y,y
65,young,CC7,3,HONEYCOMB,,semantic,1,0,1,6.89065781168756,y,y
65,young,CC7,4,PODIUM,,semantic,1,0,2,8.72256688094058,y,y
65,young,CC7,5,VAULT,PYRAMID,semantic,0,0,2,9.79449727265455,y,y
65,young,CC7,6,EMERALD,DIAMOND,semantic,0,1,6,11.7944043038442,y,y
65,young,CC7,7,PULL,,phonetic,1,0,2,13.1863402857707,y,y
65,young,CC7,8,BOON,CRITICAL,phonetic,1,0,4,15.4342274337105,y,y
65,young,CC7,9,TORTILLA,,semantic,1,0,2,17.7541044371756,y,y
65,young,CC7,10,WEST,CRITICAL,phonetic,1,0,2,18.8260441861494,y,y
65,young,CC7,11,LOTTERY,GAMBLER,semantic,0,0,5,20.4419568244339,y,y
65,young,CC7,12,WAGER,GAMBLER,semantic,0,1,5,22.4338941948517,y,y
65,young,CC7,13,GAZETTE,,semantic,1,0,1,25.2576920371939,y,y
65,young,CC7,14,ROBE,ROLE,phonetic,0,0,1,26.0416337276401,y,y
65,young,CC7,15,RAT,CAT,phonetic,0,0,3,28.3855470927811,y,y
65,young,CC7,16,WIRE,MIRE,phonetic,0,0,2,29.9454834514036,y,y
65,young,CC7,17,HOUSECOAT,,semantic,1,0,2,31.825347523758,y,y
65,young,CC7,18,FITNESS,CRITICAL,semantic,1,0,2,33.625262644433,y,y
65,young,CC7,19,BETTOR,GAMBLER,semantic,0,1,6,35.025185492399,y,y
65,young,CC7,20,SCHOOLYARD,,semantic,1,0,2,36.9050797494274,y,y
65,young,CC7,21,POP,COP,phonetic,0,1,3,38.776984121956,y,y
65,young,CC7,22,RATE,FATE,phonetic,0,0,5,40.3289616862894,y,y
65,young,CC7,23,BOUT,,phonetic,1,0,4,42.1208162903058,y,y
65,young,CC7,24,ROLE,CRITICAL,phonetic,1,0,3,44.7846268826543,y,y
65,young,CC7,25,FAKE,FATE,phonetic,0,0,3,49.3124343671807,y,y
65,young,CC7,26,TIP,SIP,phonetic,0,1,6,52.3442888625432,y,y
65,young,CC7,27,MIRE,CRITICAL,phonetic,1,0,3,53.2241791955748,y,y
65,young,CC7,28,INFERNO,,semantic,1,0,1,55.2881290600199,y,y
65,young,CC7,29,MAT,CAT,phonetic,0,1,5,57.0560049551132,y,y
65,young,CC7,30,GLOOMY,PHANTOM,semantic,0,0,1,58.4799373003771,y,y
65,young,CC7,31,INVITATION,,semantic,1,0,1,59.9518958845874,y,y
65,young,CC7,32,OPOSSUM,,semantic,1,0,1,61.6318051735871,y,y
65,young,CC7,33,NOW,,phonetic,1,0,3,63.9276693594438,y,y
65,young,CC7,34,CANVAS,,semantic,1,0,2,65.1675820170494,y,y
65,young,CC7,35,CAT,CRITICAL,phonetic,1,0,3,66.4634917817602,y,y
65,young,CC7,36,BURGLARY,ROBBERY,semantic,0,1,5,67.90348569653,y,y
65,young,CC7,37,TOON,BOON,phonetic,0,0,2,70.4153647259955,y,y
65,young,CC7,38,PSYCHOPATH,LUNATIC,semantic,0,0,4,72.5032027453562,y,y
65,young,CC7,39,CON,COP,phonetic,0,0,2,74.0391706578375,y,y
65,young,CC7,40,LINGUISTICS,,semantic,1,0,2,75.3590760349034,y,y
65,young,CC7,41,DIRE,MIRE,phonetic,0,1,6,76.8550024615543,y,y
65,young,CC7,42,TEAL,CRITICAL,phonetic,1,0,2,79.1109108860692,y,y
